,L,w_N1,w_N2,y1,y2
0,2.8,0.24957952516184329,-1.04346505369676,0.20000367926405052,0.8006839106605255
0,2.9,0.40090982353900356,-0.9590901764609965,0.19999547314678331,0.7999998952194396
0,3.0,0.5649125359557493,-0.8725812166125184,0.2000143167604669,0.8003364693525007
0,3.1,0.7864454639999963,-0.7196564303333369,0.1999912474098647,0.8014866152646588
0,3.2,0.9175298857644232,-0.6771613499561298,0.20000966269931544,0.8001334902847009
0,3.3,1.1024364771858362,-0.577563522814164,0.2000005960219303,0.7999996426873975
0,3.4,1.2507987687439137,-0.5292012312560862,0.1999991010990516,0.7999991531813928
0,3.5,1.3224980409355178,-0.5775019590644822,0.20000111020887465,0.7999995459727811
0,3.6,1.3945709682114982,-0.6272387090513356,0.19998251945179493,0.8000323425692969
0,3.7,1.2948214855077218,-0.9277677717384172,0.19999047360780506,0.8000134086009338
0,3.8,1.145944187887077,-1.4836534833105381,0.20001079159955895,0.800113173395468
